realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,time,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,80,1,60,25.0,"80, 25",1
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,90,1,80,18.5,"90, 18.5",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,20,0,60,20.5,"20, 20.5",1
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,100,1,100,17.0,"100, 17",1
1.0,5,PurchaseOrder.Header,PO.POHeader,90,1,80,20.5,"90, 20.5",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,70,1,40,23.5,"70, 23.5",1
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,60,1,20,22.5,"60, 22.5",1
1.0,8,PurchaseOrder,PO,100,1,100,5.5,"100, 5.5",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,80,1,60,21.5,"80, 21.5",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,70,1,40,24.5,"70, 24.5",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,80,1,60,18.5,"80, 18.5",2
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,10,0,80,25.0,"10, 25",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,70,1,40,19.5,"70, 19.5",1
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,90,1,80,12.5,"90, 12.5",1
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,30,0,40,21.5,"30, 21.5",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,90,1,80,17.5,"90, 17.5",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,100,1,100,11.5,"100, 11.5",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,60,1,20,20.5,"60, 20.5",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,23.5,"10, 23.5",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,90,1,80,16.5,"90, 16.5",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,40,0,20,25.5,"40, 25.5",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,80,1,60,15.5,"80, 15.5",1
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,90,1,80,13.5,"90, 13.5",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,70,1,40,18.5,"70, 18.5",2
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,80,1,60,15.5,"80, 15.5",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,90,1,80,12.5,"90, 12.5",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,40,0,20,23.5,"40, 23.5",1
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,80,1,60,16.5,"80, 16.5",1
1.0,29,PurchaseOrder.Items,PO.POLines,100,1,100,9.5,"100, 9.5",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,100,1,100,12.5,"100, 12.5",1
1.0,31,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactName,20,0,60,24.5,"20, 24.5",1
