role,content
system,You are a crowdsource system user.
user,"OVERVIEW
Matching is a crucial element of integrating structured and semi-structured data. For instance, when multiple organizations are merged, both parties have to share information to be fused together into a new integrated system. Matching schemata is the first step in this process. Schema matching aims to find correspondences between concepts describing the meaning of data sources. Human-in-the-loop data integration, and specifically in matching, has been recently challenged by the big data era. With richer data source variety, bigger volumes, and faster velocity, accessing and making use of humans’ input has become much harder. Acknowledging cognitive awareness in human matching, InCognitoMatch (Introducing Cognitive Biases to Crowdsourced Matching) is a handy tool to validate, annotate, and correct correspondences using the crowd.

THE TASK
The following information provides a short overview and instructions necessary for participating in the task. Several element pairs will be introduced. Each pair consists of two terms, one from a candidate schema and one from target schema. To accompany each pair, additional properties will be introduced including term names and types, instance examples, schemata hierarchy, algorithmic matching result and a majority decision of the other participants. Your task is to provide a feedback, consists of a confidence level on a [0, 100] scale. a confidence level of 0 indicates an absolute no match, while a confidence level of 100 indicates an absolute match.
Please note that you will not be able to choose a confidence level of 50. Make sure to provide the answer in the following format: '<integer>, <short_explanation>'. The explanation should be less than 50 words. No further text is required.
Are you ready?"
assistant,"Yes, I am ready."
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo.Contact; Siblings: Address;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"70, 'Partial match - Contact and contactName are related to a contact person, but different schema hierarchies suggest potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo.Contact; Siblings: Address;
#
Term B: col_name: contactEmail; col_type: str; Instances: marinab@hotmail.com, ranir@gmail.com, moshban@gmail.com, moshbd@hotmail.com, shirane@mail.com; Hierarchy: PO.Contact.contactEmail; Siblings: contactName, contactFunctionCode, contactPhone;
"
assistant,"100, 'Exact match - Both terms refer to contact information, with a clear hierarchy and matching instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: telephone; col_type: str; Instances: (458) 568-4587, 03-9823373, (623) 643-0399, (877) 647-0788, (623) 453-2670; Hierarchy: PurchaseOrder.InvoiceTo.Contact.telephone; Siblings: contactName, companyName, e-mail;
#
Term B: col_name: contactPhone; col_type: str; Instances: 08-293847, 03-234289, 08-354682, 03-234756, 04-293874; Hierarchy: PO.Contact.contactPhone; Siblings: contactName, contactFunctionCode, contactEmail;
"
assistant,"60, 'Possible match - Both terms refer to phone numbers, but different hierarchy and instance examples suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.InvoiceTo.Contact; Siblings: Address;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"80, 'Strong match - Both terms refer to contact person and have the same hierarchy, although missing instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Header; col_type: none; Instances: ; Hierarchy: PurchaseOrder.Header; Siblings: Items, DeliverTo, InvoiceTo, Footer;
#
Term B: col_name: POHeader; col_type: none; Instances: ; Hierarchy: PO.POHeader; Siblings: Contact, POShipTo, POBillTo, POLines;
"
assistant,"90, 'High match - Both terms clearly refer to the same schema element, with matching hierarchy and siblings.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: postalCode; col_type: str; Instances: 56887, 86442, 26374, 13417, 28933; Hierarchy: PurchaseOrder.InvoiceTo.Address.postalCode; Siblings: street1, street2, street3, street4, stateProvince, country, city;
#
Term B: col_name: postalCode; col_type: str; Instances: 90339, 29988, 43399, 94433, 27766; Hierarchy: PO.POShipTo.postalCode; Siblings: city, attn, country, stateProvince, street1, street2, street3, street4, entityidentifider;
"
assistant,"50, 'No match - Both terms refer to different schema hierarchies with different instance examples.'"
user,"50 IS NOT A VALID ANSWER, TRY AGAIN!
Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: postalCode; col_type: str; Instances: 56887, 86442, 26374, 13417, 28933; Hierarchy: PurchaseOrder.InvoiceTo.Address.postalCode; Siblings: street1, street2, street3, street4, stateProvince, country, city;
#
Term B: col_name: postalCode; col_type: str; Instances: 90339, 29988, 43399, 94433, 27766; Hierarchy: PO.POShipTo.postalCode; Siblings: city, attn, country, stateProvince, street1, street2, street3, street4, entityidentifider;
"
assistant,"30, 'Low match - Both terms refer to the same schema element, but with different hierarchy and instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: telephone; col_type: str; Instances: (860) 832-2236, 03-2193822, (623) 643-0399, (623) 453-2670, 04-2637783; Hierarchy: PurchaseOrder.DeliverTo.Contact.telephone; Siblings: contactName, companyName, e-mail;
#
Term B: col_name: contactPhone; col_type: str; Instances: 08-293847, 03-234289, 08-354682, 03-234756, 04-293874; Hierarchy: PO.Contact.contactPhone; Siblings: contactName, contactFunctionCode, contactEmail;
"
assistant,"60, 'Possible match - Both terms refer to phone numbers, but different hierarchy and instance examples suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: PurchaseOrder; col_type: none; Instances: ; Hierarchy: PurchaseOrder; Siblings: ;
#
Term B: col_name: PO; col_type: none; Instances: ; Hierarchy: PO; Siblings: ;
"
assistant,"100, 'Exact match - Both terms represent the same schema element with matching name, type, instances, hierarchy, and siblings.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: postalCode; col_type: str; Instances: 26534, 26374, 13417, 28933, 58997; Hierarchy: PurchaseOrder.DeliverTo.Address.postalCode; Siblings: street1, street2, street3, street4, stateProvince, country, city;
#
Term B: col_name: postalCode; col_type: str; Instances: 90339, 29988, 43399, 94433, 12332; Hierarchy: PO.POBillTo.postalCode; Siblings: city, attn, country, stateProvince, street1, street2, street3, street4, entityidentifider;
"
assistant,"70, 'Partial match - Both terms refer to postal code with different hierarchy and instances that suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: telephone; col_type: str; Instances: (480) 503-7355, (458) 568-4587, 03-9823373, (877) 647-0788, 09-3847382; Hierarchy: PurchaseOrder.Header.Contact.telephone; Siblings: contactName, companyName, e-mail;
#
Term B: col_name: contactPhone; col_type: str; Instances: 08-293847, 03-234289, 08-354682, 03-234756, 04-293874; Hierarchy: PO.Contact.contactPhone; Siblings: contactName, contactFunctionCode, contactEmail;
"
assistant,"50, 'No match - Both terms refer to different schema hierarchies with different instance examples.'"
user,"50 IS NOT A VALID ANSWER, TRY AGAIN!
Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: telephone; col_type: str; Instances: (480) 503-7355, (458) 568-4587, 03-9823373, (877) 647-0788, 09-3847382; Hierarchy: PurchaseOrder.Header.Contact.telephone; Siblings: contactName, companyName, e-mail;
#
Term B: col_name: contactPhone; col_type: str; Instances: 08-293847, 03-234289, 08-354682, 03-234756, 04-293874; Hierarchy: PO.Contact.contactPhone; Siblings: contactName, contactFunctionCode, contactEmail;
"
assistant,"40, 'Low match - Both terms refer to phone numbers, but different hierarchy and instance examples suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: stateProvince; col_type: str; Instances: Arizona, CONNECTICUT, None, AZ; Hierarchy: PurchaseOrder.DeliverTo.Address.stateProvince; Siblings: street1, street2, street3, street4, postalCode, country, city;
#
Term B: col_name: stateProvince; col_type: str; Instances: None, nan; Hierarchy: PO.POBillTo.stateProvince; Siblings: city, attn, country, street1, street2, street3, street4, postalCode, entityidentifider;
"
assistant,"80, 'High match - Both terms refer to the same schema element, with matching name, type, and siblings, despite different instance examples and hierarchy.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: ourAccountCode; col_type: str; Instances: s6780, s7890, K45L56, d7836, d7654; Hierarchy: PurchaseOrder.Header.ourAccountCode; Siblings: orderNum, orderDate, yourAccountCode, Contact;
#
Term B: col_name: contactFunctionCode; col_type: str; Instances: c34801, w23230, p0998, d90008, c2003; Hierarchy: PO.Contact.contactFunctionCode; Siblings: contactName, contactEmail, contactPhone;
"
assistant,"20, 'Low match - Both terms have different names and hierarchy, and the instances suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: contactName; col_type: str; Instances: Prof Ofer Shtrayhaman, Dr. Gilboa Barak, Patrick Stump, Mr Itay Hershko, Yulia Shkolnik; Hierarchy: PurchaseOrder.Header.Contact.contactName; Siblings: companyName, e-mail, telephone;
#
Term B: col_name: Contact; col_type: none; Instances: ; Hierarchy: PO.Contact; Siblings: POHeader, POShipTo, POBillTo, POLines;
"
assistant,"10, 'Very low match - Both terms have different names, hierarchy, and type, and there is no clear relation between the instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: orderDate; col_type: str; Instances: 2020-07-24, 2013-12-08, 2005-07-01, 2013-05-13, 2012-05-18; Hierarchy: PurchaseOrder.Header.orderDate; Siblings: orderNum, ourAccountCode, yourAccountCode, Contact;
#
Term B: col_name: poDate; col_type: str; Instances: 2012-05-12T15:45:00, 2012-05-30T09:00:00, 2012-05-23T04:00:00, 2002-05-30T09:00:00; Hierarchy: PO.POHeader.poDate; Siblings: poNumber;
"
assistant,"60, 'Possible match - Both terms refer to an order date, but with different hierarchy and instance examples, suggesting a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: ourAccountCode; col_type: str; Instances: s6780, s7890, K45L56, d7836, d7654; Hierarchy: PurchaseOrder.Header.ourAccountCode; Siblings: orderNum, orderDate, yourAccountCode, Contact;
#
Term B: col_name: postalCode; col_type: str; Instances: 90339, 29988, 43399, 94433, 12332; Hierarchy: PO.POBillTo.postalCode; Siblings: city, attn, country, stateProvince, street1, street2, street3, street4, entityidentifider;
"
assistant,"30, 'Low match - Both terms have different names, hierarchy, type, and instance examples, suggesting a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: partNumber; col_type: str; Instances: i934, o975, y865, s667, f382; Hierarchy: PurchaseOrder.Items.Item.partNumber; Siblings: yourPartnerNumber, unitPrice, unitOfMeasure, salesValue, quantity, partDescription, itemNumber;
#
Term B: col_name: partNo; col_type: str; Instances: t899, h374, s259, u897, p689; Hierarchy: PO.POLines.Item.partNo; Siblings: uom, unitPrice, qty, line;
"
assistant,"80, 'High match - Both terms refer to a part number with matching type, hierarchy, and siblings, despite different instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Items; col_type: none; Instances: ; Hierarchy: PurchaseOrder.Items; Siblings: DeliverTo, InvoiceTo, Header, Footer;
#
Term B: col_name: Item; col_type: none; Instances: ; Hierarchy: PO.POLines.Item; Siblings: startAt, count;
"
assistant,"100, 'Exact match - Both terms represent the same schema element with matching name, type, instances, hierarchy, and siblings.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: contactName; col_type: str; Instances: Prof Ofer Shtrayhaman, Dr. Gilboa Barak, Patrick Stump, Mr Itay Hershko, Yulia Shkolnik; Hierarchy: PurchaseOrder.InvoiceTo.Contact.contactName; Siblings: companyName, e-mail, telephone;
#
Term B: col_name: Contact; col_type: none; Instances: ; Hierarchy: PO.Contact; Siblings: POHeader, POShipTo, POBillTo, POLines;
"
assistant,"20, 'Low match - Both terms have different names, hierarchy, type, and instance examples, suggesting a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: salesValue; col_type: Decimal; Instances: 30.4, 4581.458, 458772.74, 45962.255, 1300000; Hierarchy: PurchaseOrder.Items.Item.salesValue; Siblings: yourPartnerNumber, unitPrice, unitOfMeasure, quantity, partNumber, partDescription, itemNumber;
#
Term B: col_name: Contact; col_type: none; Instances: ; Hierarchy: PO.Contact; Siblings: POHeader, POShipTo, POBillTo, POLines;
"
assistant,"10, 'Very low match - Both terms have different names, hierarchy, and type, and there is no clear relation between the instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: e-mail; col_type: str; Instances: amos@gmail.com, tlv@gmail.com, shuk@gmail.com, pet.dinklage@microsoft.com, arad@hotmail.com; Hierarchy: PurchaseOrder.Header.Contact.e-mail; Siblings: contactName, companyName, telephone;
#
Term B: col_name: contactEmail; col_type: str; Instances: marinab@hotmail.com, ranir@gmail.com, moshban@gmail.com, moshbd@hotmail.com, shirane@mail.com; Hierarchy: PO.Contact.contactEmail; Siblings: contactName, contactFunctionCode, contactPhone;
"
